lottoDateTh,lottoDateEn,drawNumber,drawType
25400401,19970401,52,6
25400416,19970416,0551450,1
25400416,19970416,654,2
25400416,19970416,165,3
25400416,19970416,279,4
25400416,19970416,085,5
25400416,19970416,92,6
25400502,19970502,0388437,1
25400502,19970502,025,2
25400502,19970502,656,3
25400502,19970502,056,4
25400502,19970502,728,5
25400502,19970502,38,6
25400516,19970516,0088067,1
25400516,19970516,510,2
25400516,19970516,621,3
25400516,19970516,896,4
25400516,19970516,769,5
25400516,19970516,52,6
25400601,19970601,0643997,1
25400601,19970601,507,2
25400601,19970601,918,3
25400601,19970601,784,4
25400601,19970601,060,5
25400601,19970601,24,6
25400616,19970616,0537146,1
25400616,19970616,635,2
25400616,19970616,769,3
25400616,19970616,982,4
25400616,19970616,504,5
25400616,19970616,61,6
25400701,19970701,0676573,1
25400701,19970701,909,2
25400701,19970701,620,3
25400701,19970701,412,4
25400701,19970701,092,5
25400701,19970701,11,6
25400716,19970716,0509691,1
25400716,19970716,982,2
25400716,19970716,623,3
25400716,19970716,750,4
25400716,19970716,944,5
25400716,19970716,67,6
25400801,19970801,0054272,1
25400801,19970801,797,2
25400801,19970801,145,3
25400801,19970801,414,4
25400801,19970801,440,5
25400801,19970801,31,6
25400816,19970816,0156967,1
25400816,19970816,235,2
25400816,19970816,957,3
25400816,19970816,596,4
25400816,19970816,569,5
25400816,19970816,30,6
25400901,19970901,0083537,1
25400901,19970901,132,2
25400901,19970901,319,3
25400901,19970901,658,4
25400901,19970901,716,5
25400901,19970901,59,6
25400916,19970916,0527514,1
25400916,19970916,251,2
25400916,19970916,335,3
25400916,19970916,687,4
25400916,19970916,935,5
25400916,19970916,98,6
25401001,19971001,0444413,1
25401001,19971001,808,2
25401001,19971001,689,3
25401001,19971001,746,4
25401001,19971001,698,5
25401001,19971001,24,6
25401016,19971016,0405124,1
25401016,19971016,280,2
25401016,19971016,356,3
25401016,19971016,459,4
